run_id,model_name,epoch,split,loss_total,loss_reg,loss_cls,pearson,accuracy
20251031_054933,roberta,1,train,1.3192181245866397,0.7344202160940948,0.5847979092323188,,
20251031_054933,roberta,1,val,0.650843809125945,0.3051109940279275,0.34573280764743686,0.8551352620124817,0.8619999885559082
20251031_054933,roberta,2,train,0.602098174181813,0.27202798058906347,0.33007019323607284,,
20251031_054933,roberta,2,val,0.5238905652659014,0.21612267434829846,0.30776788847288117,0.8864151239395142,0.8859999775886536
20251031_054933,roberta,3,train,0.4641540484331178,0.21760339530330178,0.2465506533874159,,
20251031_054933,roberta,3,val,0.7245362231042236,0.2204215065576136,0.504114710027352,0.8959743976593018,0.8420000076293945
20251031_054933,roberta,4,train,0.40015967354072746,0.20026855967304807,0.1998911138577717,,
20251031_054933,roberta,4,val,0.5482182665728033,0.2005721740424633,0.34764609136618674,0.8978855013847351,0.8840000033378601
20251031_054933,roberta,5,train,0.3328030820645339,0.1751835889823682,0.15761949310528364,,
20251031_054933,roberta,5,val,0.5544063090346754,0.21637213067151606,0.3380341787706129,0.8945578336715698,0.8960000276565552
20251031_054933,roberta,6,train,0.2839049648308585,0.16021761936234666,0.12368734566666556,,
20251031_054933,roberta,6,val,0.559470428415807,0.22170841944171116,0.3377620087194373,0.9038252234458923,0.8960000276565552
20251031_054933,roberta,0,test,,,,0.8982547521591187,0.8926324248313904
20251031_054933,bert,1,train,1.1137226460673284,0.5609277223917186,0.5527949260798752,,
20251031_054933,bert,1,val,0.7645270121283829,0.3547780769877136,0.4097489360719919,0.8506628274917603,0.8360000252723694
20251031_054933,bert,2,train,0.6171004662277005,0.26956599749994614,0.34753446825218537,,
20251031_054933,bert,2,val,0.7138976599089801,0.28824288852047175,0.42565476801246405,0.8686146140098572,0.8519999980926514
20251031_054933,bert,3,train,0.4695598786392956,0.211119662626838,0.2584402155897296,,
20251031_054933,bert,3,val,0.6854304710286669,0.25172671754990006,0.43370375521772075,0.8714159727096558,0.8619999885559082
20251031_054933,bert,4,train,0.343400582327699,0.16667767806995845,0.17672290510649905,,
20251031_054933,bert,4,val,0.7412125691771507,0.2641052516992204,0.47710732161067426,0.8798239231109619,0.8619999885559082
20251031_054933,bert,5,train,0.2780770124563723,0.14809352859643335,0.12998348452540523,,
20251031_054933,bert,5,val,0.7338962818030268,0.25614644680172205,0.4777498297917191,0.8731306791305542,0.8700000047683716
20251031_054933,bert,6,train,0.21623091455152693,0.1306255484455602,0.08560536618357696,,
20251031_054933,bert,6,val,0.7038559333886951,0.2238160790875554,0.48003985503601143,0.8809194564819336,0.871999979019165
20251031_054933,bert,0,test,,,,0.888213038444519,0.8768013119697571
20251031_054933,gpt2,1,train,2.122464604834293,1.1471844790041024,0.9752801298461062,,
20251031_054933,gpt2,1,val,1.0333214811980724,0.4814607831649482,0.5518606998957694,0.7435059547424316,0.7900000214576721
20251031_054933,gpt2,2,train,1.0948007517883964,0.546626904226364,0.5481738477733964,,
20251031_054933,gpt2,2,val,0.8854184420779347,0.40380272548645735,0.4816157127497718,0.7795544266700745,0.7979999780654907
20251031_054933,gpt2,3,train,0.8642868225244765,0.41356541549271725,0.45072140254027454,,
20251031_054933,gpt2,3,val,0.8119388781487942,0.39184760907664895,0.42009127023629844,0.8160169124603271,0.8159999847412109
20251031_054933,gpt2,4,train,0.727274866180217,0.34010627411358746,0.38716859235725504,,
20251031_054933,gpt2,4,val,0.8881093165837228,0.39931062888354063,0.48879868403309956,0.8173292279243469,0.8080000281333923
20251031_054933,gpt2,5,train,0.637493889276863,0.29983829383256166,0.33765559654075206,,
20251031_054933,gpt2,5,val,0.7577585258986801,0.3185814246535301,0.4391771022055764,0.8312055468559265,0.8299999833106995
20251031_054933,gpt2,6,train,0.5484882615876536,0.2536215902643001,0.29486667204991723,,
20251031_054933,gpt2,6,val,0.7109992355108261,0.32427453761920333,0.3867247021989897,0.8333122730255127,0.8420000076293945
20251031_054933,gpt2,0,test,,,,0.8459839224815369,0.8585346341133118
20251031_054933,bert_reg,1,train,0.49203878181411864,0.49203878181411864,,,
20251031_054933,bert_reg,1,val,0.24699765746481717,0.24699765746481717,,0.8715823292732239,
20251031_054933,bert_reg,2,train,0.22492121827147954,0.22492121827147954,,,
20251031_054933,bert_reg,2,val,0.2640972731169313,0.2640972731169313,,0.8866589069366455,
20251031_054933,bert_reg,3,train,0.16039533109952372,0.16039533109952372,,,
20251031_054933,bert_reg,3,val,0.2900319932959974,0.2900319932959974,,0.8873447775840759,
20251031_054933,bert_reg,0,test,,,,0.8723450303077698,
20251031_054933,bert_cls,1,train,0.5474631344859905,,0.5474631344859905,,
20251031_054933,bert_cls,1,val,0.4398119493853301,,0.4398119493853301,,0.8320000171661377
20251031_054933,bert_cls,2,train,0.31410688777447593,,0.31410688777447593,,
20251031_054933,bert_cls,2,val,0.37627023161621764,,0.37627023161621764,,0.8519999980926514
20251031_054933,bert_cls,3,train,0.1994760046178039,,0.1994760046178039,,
20251031_054933,bert_cls,3,val,0.40032144646102097,,0.40032144646102097,,0.8899999856948853
20251031_054933,bert_cls,0,test,,,,,0.8731479644775391
